Variable,Description,URL,Category,UKB.dataset.ID,Field.ID
mother_bowel_cancer,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
mother_lung_cancer,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
mother_stroke,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
mother_heart_disease,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
sibling_alzheimers,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_severe_depression,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_parkinsons,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_diabetes,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_high_blood_pressure,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_bronchitis_emphysema,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_breast_cancer,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_prostate_cancer,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_bowel_cancer,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
sibling_lung_cancer,Illnesses of siblings,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111,Family medical history,f.20111.0.0 - f.20111.0.11,20111
