Variable,Description,URL,Levels,Category,UKB dataset ID,Field ID,Notes,Description,Years collected,UKB Assessment,UKB Category
employment_years,Time employed in main current job,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=757,,Employment,f.757.0.0,757,,,2006-2010,ACE/Touchscreen,Employment
employment_hours,Length of working week for main job,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=767,,Employment,f.767.0.0,767,,,2006-2010,ACE/Touchscreen,Employment
employment_travel_freq,Frequency of travelling from home to job workplace,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=777,,Employment,f.777.0.0,777,,,2006-2010,ACE/Touchscreen,Employment
car_commute,Transport type for commuting to job workplace,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6143,,Employment,f.6143.0.0 - f.6143.0.3,6143,,,2006-2010,ACE/Touchscreen,Employment
walk_commute,Transport type for commuting to job workplace,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6143,,Employment,f.6143.0.0 - f.6143.0.3,6143,,,,,
public_transport_commute,Transport type for commuting to job workplace,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6143,,Employment,f.6143.0.0 - f.6143.0.3,6143,,,,,
cycle_commute,Transport type for commuting to job workplace,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6143,,Employment,f.6143.0.0 - f.6143.0.3,6143,,,,,
employment_standing,Job involves mainly walking or standing,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=806,,Employment,f.806.0.0,806,,,2006-2010,ACE/Touchscreen,Employment
employment_heavy_manual,Job involves heavy manual or physical work,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=816,,Employment,f.816.0.0,816,,,2006-2010,ACE/Touchscreen,Employment
shift_work,Job involves shift work,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=826,,Employment,f.826.0.0,826,,,2006-2010,ACE/Touchscreen,Employment
night_shift_work,Job involves night shift work,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3426,,Employment,f.3426.0.0,3426,,,2006-2010,ACE/Touchscreen,Employment
noisy_workplace,Noisy workplace,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4825,,Employment,f.4825.0.0,4825,,,2006-2010,ACE/Touchscreen,Hearing
immigration_year,Year immigrated to UK (United Kingdom),http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=3659,,Other sociodemographics,f.3659.0.0,3659,,,2006-2010,ACE/Touchscreen,Ethnicity
ethnicity_old,Ethnic background,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21000,,Other sociodemographics,f.21000.0.0,21000,,,,,
ethnicity,"Recoded ethnicity to have fewer categories: black, white, mixed, asian, other",,,Other sociodemographics,,,,,2006-2010,ACE/Touchscreen,Ethnicity
attendance_allowance,Attendance/disability/mobility allowance,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6146,,Other sociodemographics,f.6146.0.0 - f.6146.0.2,6146,,,2006-2010,ACE/Touchscreen,Other sociodemographic
disability_allowance,Attendance/disability/mobility allowance,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6146,,Other sociodemographics,f.6146.0.0 - f.6146.0.2,6146,,,,,
blue_badge,Attendance/disability/mobility allowance,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6146,,Other sociodemographics,f.6146.0.0 - f.6146.0.2,6146,,,,,
private_healthcare,Private healthcare,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4674,,Other sociodemographics,f.4674.0.0,4674,,,2006-2010,ACE/Touchscreen,Other sociodemographic
recruitment_age,Age at recruitment,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21022,,Other sociodemographics,f.21022.0.0,21022,,,2006-2010,Population characteristics,Baseline characteristics
birth_year,Year of birth,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=34,,Other sociodemographics,f.34.0.0,34,,,2006-2010,Population characteristics,Baseline characteristics
birth_month,Month of birth,https://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=52,,Other sociodemographics,f.52.0.0,52,,,,,
genetic_sex,Genetic sez,https://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22001,,Other sociodemographics,f.22001.0.0,22001,,,,,
sex,Sex,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=31,,Other sociodemographics,f.31.0.0,31,,,,,
recruitment_centre,UK Biobank assessment centre,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=54,,Other sociodemographics,f.54.0.0,54,,,2006-2010,ACE/Recruitment,Reception
recruitment_date,Date of attending assessment centre,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=53,,Other sociodemographics,f.53.0.0,53,,,,,
